FILE NAME,REG NO
3732330.tif,"3,732,330"
3732483.tif,"3,732,483"
3735769.tif,"3,735,769"
3744000.tif,"3,744,000"
3744001.tif,"3,744,001"
3744002.tif,"3,744,002"
3744003.tif,"3,744,003"
3744004.tif,"3,744,004"
3744005.tif,"3,744,005"
3744006.tif,"3,744,006"
3744007.tif,"3,744,007"
3744008.tif,"3,744,008"
3744009.tif,"3,744,009"
3744010.tif,"3,744,010"
3744011.tif,"3,074,115"
3744012.tif,"3,744,012"
3744013.tif,"3,744,013"
3744014.tif,"3,744,014"
3744015.tif,"3,744,015"
3744016.tif,"39744,016"
3744017.tif,"3,744,017"
3744018.tif,"3,744,018"
3744019.tif,"3,744,019"
3744020.tif,"3,744,020"
3744021.tif,"3,744,021"
3744022.tif,"3,744,022"
